src_id,src_numeric_id,name_en,name_ar,domain,institution,category,source_type,source_class,sector_category,sub_sector_tag,geographic_coverage,time_coverage_start,time_coverage_end,access_method,access_method_norm,auth_required,data_format,update_frequency,update_frequency_norm,cadence,cadence_norm,cadence_lag_tolerance,tier,reliability_score,confidence_grade,license,partnership_required,partnership_action_email,routing_function,dashboard_modules_linked,integration_targets,embedded_indicators,data_fields,transformation_notes,granularity_caveats,fallback_plan,admin_alert_trigger_condition,ingestion_method,ingestion_owner_agent,multilingual_required,glossary_terms_required,evidence_pack_flag,yeto_usage,yeto_module,coverage,typical_lag_days,typical_lag_text,notes,tags,status,active,url,url_raw,origin,ai_coach_prompt,auth_required_raw,access_method_norm_raw,update_frequency_norm_raw,cadence_norm_raw,cadence_lag_tolerance_raw,url_raw_original,source_class_label
SRC-124,124,Oxford Economics Yemen Macro,,www.oxfordeconomics.com,,Macro Forecasts,,DATA_NUMERIC,Macro Forecasts,,Commercial,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Quarterly,QUARTERLY,QUARTERLY,QUARTERLY,120.0,T3,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,"Offers proprietary forecasts for Yemen’s GDP, inflation, exchange rate, etc.  *Needs Key/License* – store metadata only.",Macro Forecasts,NEEDS_KEY,True,https://www.oxfordeconomics.com/,Subscription,extended,,Unknown,MANUAL+WEB,QUARTERLY,QUARTERLY,120 days,https://www.oxfordeconomics.com/,Documents/Analysis
SRC-125,125,Bloomberg Terminal,,www.bloomberg.com,,Exchange Rate & Market News,,NEWS_MEDIA,Exchange Rate & Market News,,Commercial,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Real-time,REALTIME,DAILY,DAILY,2.0,T3,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Provides parallel market exchange rates and financial news; cannot be scraped.  Use only if license allows; otherwise mark as unavailable.,Exchange Rate & Market News,NEEDS_KEY,True,https://www.bloomberg.com/professional/,Terminal,extended,,Unknown,MANUAL+WEB,REAL-TIME,DAILY,48 hours,https://www.bloomberg.com/professional/,Event (News)
SRC-126,126,Yemen Central Statistical Office Population Projections,,www.cso-yemen.org,Central Statistical Organization (Yemen),Demographics,,DATA_NUMERIC,Demographics,,National,2010,2026,Manual/Web,MANUAL,No,Unknown,Occasional (2014–2017),IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Provides national and governorate population estimates; used by UN agencies.  Tag regime accordingly.,Demographics,PENDING_REVIEW,True,https://www.cso-yemen.org/,CSO reports (access via CSO or UNFPA),extended,,Unknown,MANUAL+WEB,OCCASIONAL (2014–2017),IRREGULAR,per-source,https://www.cso-yemen.org/,Documents/Analysis
SRC-127,127,Yemen Ministry of Industry & Trade,,moit-ye.com,Government of Yemen,Market prices & inflation,,DATA_NUMERIC,Market prices & inflation,,National,2010,2026,Manual/Web,MANUAL,No,Unknown,Ad hoc,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,May release official commodity price lists or inflation updates; scarce due to conflict.  Ingest if available.,Market prices & inflation,PENDING_REVIEW,True,https://moit-ye.com/,Press releases and bulletins,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,https://moit-ye.com/,Documents/Analysis
SRC-128,128,Yemen Petroleum Company (YPC) Official Fuel Prices,,yogc-yemen.net,,Fuel prices,,DATA_NUMERIC,Fuel prices,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Official pump prices in Sana’a (DFA) published on YPC’s channels; must track via scraping or partner submissions.,Fuel prices,NEEDS_KEY,True,https://yogc-yemen.net/ypc.aspx,Social media or official bulletins,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,https://yogc-yemen.net/ypc.aspx,Documents/Analysis
SRC-129,129,Government of Yemen (Aden) Fuel Price Announcements,,n,,Fuel prices,,DATA_NUMERIC,Fuel prices,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Announced by Ministry of Oil or other agencies; used to set official prices in IRG-controlled areas.,Fuel prices,PENDING_REVIEW,True,,Press releases and local media,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,N/A (offline/manual),Documents/Analysis
SRC-130,130,Abdul Wahab Shukri FX Market Bulletin,,n,,Parallel FX rates,,DATA_NUMERIC,Parallel FX rates,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Daily,DAILY,DAILY,DAILY,2.0,T3,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Informal bulletins by major money exchangers quoting market rates; may become part of partner feed; treat as anecdotal and store with low confidence.,Parallel FX rates,NEEDS_KEY,True,,Telegram/WhatsApp groups (monitored by partners),extended,,Unknown,MANUAL+WEB,DAILY,DAILY,48 hours,N/A (offline/manual),Documents/Analysis
SRC-131,131,Al Kuraimi Exchange Rate Feed,,n,,Parallel FX rates,,DATA_NUMERIC,Parallel FX rates,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Daily,DAILY,DAILY,DAILY,2.0,,C,C,Unknown/varies,True,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Some Yemeni banks publish daily exchange rates (buy/sell).  Scrape or partner feed; assign regime tag.,Parallel FX rates,NEEDS_KEY,True,,[Al Kuraimi Bank website/social media],extended,,Unknown,MANUAL+WEB,DAILY,DAILY,48 hours,N/A (offline/manual),Documents/Analysis
SRC-132,132,Saraf Online App,,n,,Market FX rates,,DATA_NUMERIC,Market FX rates,,National,2010,2026,Manual/Web,MANUAL,Yes,Unknown,Daily,DAILY,DAILY,DAILY,2.0,,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,An app used by Yemeni traders posting parallel market rates; data may be accessible via API or manual capture; mark as low confidence.,Market FX rates,PENDING_REVIEW,True,,Mobile app (crowd‑sourced),extended,,Unknown,MANUAL+WEB,DAILY,DAILY,48 hours,N/A (offline/manual),Documents/Analysis
SRC-133,133,Central Bank of Yemen Sana’a Official Rate,,cby-ye.com,Central Bank of Yemen,Official FX rate,,DATA_NUMERIC,Official FX rate,,National,2010,2026,Manual/Web,MANUAL,No,Unknown,Irregular,IRREGULAR,IRREGULAR,IRREGULAR,,T1,C,C,Unknown/varies,False,partnerships@causewaygrp.com,,TBD,TBD,TBD,Varies,TBD,,Use alternates/proxies; log gap ticket,TBD,Manual,Manus,0,0,0,TBD,TBD,Yemen,,Varies,Official rate in DFA; glean from Ministry of Finance bulletins or speeches.,Official FX rate,PENDING_REVIEW,True,https://cby-ye.com/,Press releases and bulletins,extended,,Unknown,MANUAL+WEB,IRREGULAR,IRREGULAR,per-source,https://cby-ye.com/,Documents/Analysis
