product_id,src_id,product_name,product_type,sectors,geographic_coverage,time_start,time_end,update_frequency,granularity,indicators_keywords,notes
PR-SRC-124-01,SRC-124,TBD,DATA_NUMERIC,Macro Forecasts,Commercial,2010,2026,QUARTERLY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-125-01,SRC-125,TBD,NEWS_MEDIA,Exchange Rate & Market News,Commercial,2010,2026,REALTIME,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-126-01,SRC-126,TBD,DATA_NUMERIC,Demographics,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-127-01,SRC-127,TBD,DATA_NUMERIC,Market prices & inflation,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-128-01,SRC-128,TBD,DATA_NUMERIC,Fuel prices,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-129-01,SRC-129,TBD,DATA_NUMERIC,Fuel prices,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-130-01,SRC-130,TBD,DATA_NUMERIC,Parallel FX rates,National,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-131-01,SRC-131,TBD,DATA_NUMERIC,Parallel FX rates,National,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-132-01,SRC-132,TBD,DATA_NUMERIC,Market FX rates,National,2010,2026,DAILY,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-133-01,SRC-133,TBD,DATA_NUMERIC,Official FX rate,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-134-01,SRC-134,TBD,DATA_NUMERIC,Mirror trade & FX proxies,Global,2010,2026,ANNUAL,,TBD,Auto-generated summary; split into multiple products per source where applicable.
PR-SRC-135-01,SRC-135,TBD,DATA_NUMERIC,Banking sector info,National,2010,2026,IRREGULAR,,TBD,Auto-generated summary; split into multiple products per source where applicable.
