sector_code,sector_name,definition
S01,Macro,"Macro aggregates and national accounts (GDP, growth, debt, BoP, reserves where macro-level)."
S02,Prices & Cost of Living,"Inflation/CPI, market price monitoring, cost-of-living baskets and price-based welfare proxies."
S03,Currency & Exchange,"Exchange rates, FX markets, reserve policy, fragmentation spreads and currency controls."
S04,Banking & Finance,"Banking system, monetary aggregates, payments, financial stability, AML/CFT and inclusion."
S05,Public Finance & Governance,"Budget, revenues/expenditure, governance, procurement, public sector administration and accountability."
S06,Trade & Commerce,"Imports/exports, customs, ports/shipping, trade policy, logistics and commerce flows."
S07,Energy & Fuel,"Oil/gas, fuel prices, electricity generation, energy infrastructure and energy-market signals."
S08,Labour & Wages,"Employment, wages, livelihoods and labor market structure including worker remittances where evidenced."
S09,Aid & Projects,"ODA/humanitarian funding, donor projects pipeline, implementing partners and project monitoring."
S10,Food Security & Agriculture,"Agriculture production, food security classifications, market systems, fisheries and land use for food."
S11,Humanitarian & Social,"Health, education, displacement, protection, demographics and social outcomes/human development."
S12,Conflict & Political Economy,"Conflict incidence, political economy, war economy dynamics, sanctions context (descriptive)."
S13,Infrastructure & Services,"Transport, WASH, telecom and other service delivery / public infrastructure status and disruptions."
S14,Investment & Private Sector,"Private sector, investment climate, corporate sector evidence, SMEs, FDI and market structure."
S15,Narrative & Research Sources,"Narrative and qualitative sources: credible research, reports, policy briefs, and reputable media."
S16,Remote Sensing & Environmental,"Satellite/remote sensing, climate/environmental datasets, vegetation/damage assessment and hazards."
