src_id,src_numeric_id,name_en,name_ar,category,tier,institution,url,url_raw,access_method,update_frequency,cadence,license,reliability_score,geographic_coverage,coverage,typical_lag_days,typical_lag_text,auth,data_fields,ingestion_method,yeto_usage,yeto_module,granularity_caveats,notes,tags,origin,status,active
SRC-001,1,World Bank Macro PovcalNet,,Poverty & Distribution,T1,World Bank,https://api.worldbank.org/v2/country/YEM/indicator/SI.POV.DDAY?format=json,[PovcalNet API](https://api.worldbank.org/v2/country/YEM/indicator/SI.POV.DDAY?format=json),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Provides poverty headcount ratios (US$1.90, US$3.20, US$5.50 lines) and income distribution data.  Tag as “World Bank – PovcalNet”.",Poverty & Distribution,extended,ACTIVE,True
SRC-002,2,World Bank International Debt Statistics,,Debt,T1,World Bank,https://api.worldbank.org/v2/country/YEM/indicator/DT.TDS.DECT.CD?format=json,[World Bank IDS API](https://api.worldbank.org/v2/country/YEM/indicator/DT.TDS.DECT.CD?format=json),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,External debt stocks and debt service flows.,Debt,extended,ACTIVE,True
SRC-003,3,World Bank Global Economic Monitor (GEM),,Macro/trade,T1,World Bank,https://worldbank.org/gem-api,[GEM API](https://worldbank.org/gem-api) (*requires key*),API,Monthly,MONTHLY,,,Global,,,,,,connector_api,,,,"Commodities prices, remittances flows, and macro indicators used in GEM; part of WBG but requires registration.",Macro/trade,extended,ACTIVE,True
SRC-004,4,IMF World Economic Outlook (WEO),,Forecasts,T1,International Monetary Fund,https://www.imf.org/en/Publications/WEO,[IMF WEO API](https://www.imf.org/en/Publications/WEO) (download via SDMX),WEB,"Biannual (Apr, Oct)",ANNUAL,,,Global,,,,,,connector_web,,,,"Provides macro forecasts for GDP growth, inflation, fiscal balance; also baseline and scenario projections.",Forecasts,extended,ACTIVE,True
SRC-005,5,IMF Fiscal Monitor,,Fiscal,T1,International Monetary Fund,https://www.imf.org/en/Publications/FM,[Fiscal Monitor PDF](https://www.imf.org/en/Publications/FM),WEB,Biannual,ANNUAL,,,Global,,,,,,connector_web,,,,Contextual narrative on fiscal developments; includes tables of expenditure and revenue for some countries.  Ingest as documents.,Fiscal,extended,ACTIVE,True
SRC-006,6,Arab Monetary Fund (AMF),,Macro & Monetary,T1,,https://amf.org.ae,[AMF Economic Data](https://amf.org.ae),WEB,Quarterly/Annual,QUARTERLY,,,Regional (MENA),,,,,,connector_web,,,,Aggregated macro statistics for Arab countries; may provide monetary aggregates and inflation proxies.  *Check licensing.*,Macro & Monetary,extended,ACTIVE,True
SRC-007,7,UN ESCWA (Arab Countries Macro Data),,Macro/Socio-economic,T1,,https://data.unescwa.org/,[ESCWA Data Portal](https://data.unescwa.org/),WEB,Annual,ANNUAL,,,Regional,,,,,,connector_web,,,,"Socio-economic indicators for MENA; includes GDP, inflation, unemployment, energy.  API or bulk download available; license open with attribution.",Macro/Socio-economic,extended,ACTIVE,True
SRC-008,8,Trading Economics,,Macro & Market,T3,,https://api.tradingeconomics.com/yemen/indicators,[TradingEconomics API](https://api.tradingeconomics.com/yemen/indicators),API,Daily/Weekly,DAILY,,,Global,,,,,,connector_api,,,,"Aggregates official and market data (CPI, FX, interest rates).  Free tier requires registration; verify data provenance.  *Check licensing.*",Macro & Market,extended,ACTIVE,True
SRC-009,9,Yemen Central Statistical Office (CSO) Yearbooks,,Macro & Demographics,T1,Central Statistical Organization (Yemen),https://cso-yemen.org,[Archived PDFs](https://cso-yemen.org),WEB,Pre‑2014 annual,ANNUAL,,,National,,,,,,connector_web,,,,"Official statistical yearbooks covering GDP by sector, CPI, population, education, health (up to 2014).  Ingest scanned PDFs; extract tables via OCR.  Coverage ends before conflict.",Macro & Demographics,extended,ACTIVE,True
SRC-010,10,UN Population Division World Population Prospects,,Demographics,T1,United Nations,https://population.un.org/dataportal/about/dataapi,[UN WPP API](https://population.un.org/dataportal/about/dataapi),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Standard demographic projections; includes fertility, mortality, migration.  Use for cross‑checking CSO and UNFPA projections.",Demographics,extended,ACTIVE,True
